ID,time,reported_y,y
V401,7,258,2.411619706
V401,10,191,2.281033367
V401,14,110,2.041392685
13523,7,237,2.374748346
13523,10,122,2.086359831
13523,14,111,2.045322979
V20195,7,56,1.748188027
V20195,10,271,2.432969291
V20195,14,225,2.352182518
13170,7,107,2.029383778
13170,10,180,2.255272505
13170,14,171,2.23299611
15693,7,118,2.071882007
15693,10,237,2.374748346
15693,14,101,2.004321374
13311,7,125,2.096910013
13311,10,53,1.72427587
13311,14,13,1.113943352
13316,7,275,2.439332694
13316,10,458,2.660865478
13316,14,50,1.698970004
13237,7,49,1.69019608
13237,10,445,2.648360011
13237,14,109,2.037426498
13457,7,213,2.328379603
13457,10,275,2.439332694
13457,14,25,1.397940009
V15729,7,96,1.982271233
V15729,10,35,1.544068044
16834,7,29,1.462397998
16834,10,42,1.62324929
16834,12,23,1.361727836
20973,7,15,1.176091259
20973,10,21,1.322219295
20973,12,2,0.301029996
20555,7,112,2.049218023
20555,10,296,2.471291711
20555,13,164,2.214843848
20625,7,33,1.51851394
20625,10,731,2.863917377
20625,13,29,1.462397998
20784,7,2,0.301029996
20784,10,16,1.204119983
20784,13,2,0.301029996
20483,7,148,2.170261715
20483,10,55,1.740362689
20595,7,41,1.612783857
20595,10,226,2.354108439
20654,7,34,1.531478917
20654,10,290,2.462397998
